ID	Title	Composer	Singer	Language	Mood	Genre
723	At Least Im Not as Sad	fun.	fun.	English	Melancholic	Indie-Pop
724	All Alright	fun.	fun.	English	Comforting	Indie-Pop
725	Be Calm	fun.	fun.	English	Peaceful	Indie-Pop
726	One Foot	fun.	fun.	English	Hopeful	Indie-Pop
727	The Gambler	fun.	fun.	English	Thoughtful	Indie-Pop
728	Walking the Dog	fun.	fun.	English	Playful	Indie-Pop
729	Sight of the Sun	fun.	fun.	English	Happy	Indie-Pop
730	Stars	fun.	fun.	English	Hopeful	Indie-Pop
731	All the Pretty Girls	fun.	fun.	English	Romantic	Indie-Pop
732	Barlights	fun.	fun.	English	Nostalgic	Indie-Pop
733	Tongue Tied	fun.	fun.	English	Romantic	Indie-Pop
734	Kilo	fun.	fun.	English	Sad	Indie-Pop
735	Beautiful as You Are	fun.	fun.	English	Romantic	Indie-Pop
736	Aim and Ignite	fun.	fun.	English	Energetic	Indie-Pop
737	Take Your Time Coming Home	fun.	fun.	English	Peaceful	Indie-Pop
738	Veronica	Elvis Costello	Elvis Costello	English	Reflective	Pop
739	(What's So Funny Bout) Peace Love Understanding	Elvis Costello	Elvis Costello	English	Hopeful	Rock
740	Oliver's Army	Elvis Costello	Elvis Costello	English	Thoughtful	Pop
741	Alison	Elvis Costello	Elvis Costello	English	Romantic	Pop
742	Every Day I Write the Book	Elvis Costello	Elvis Costello	English	Romantic	Pop
743	She	Elvis Costello	Elvis Costello	English	Romantic	Chanson
744	Man Out of Time	Elvis Costello	Elvis Costello	English	Reflective	Rock
745	Pump It Up	Elvis Costello	Elvis Costello	English	Energetic	Rock
746	This Year's Girl	Elvis Costello	Elvis Costello	English	Sad	Rock
747	Good Year for the Roses	Elvis Costello	Elvis Costello	English	Sad	Country
748	Angels of the Silences	Counting Crows	Counting Crows	English	Hopeful	Rock
749	Mr. Jones	Counting Crows	Counting Crows	English	Happy	Rock
750	A Long December	Counting Crows	Counting Crows	English	Nostalgic	Rock
751	Round Here	Counting Crows	Counting Crows	English	Melancholic	Rock
752	Accidentally in Love	Counting Crows	Counting Crows	English	Happy	Rock
753	Rain King	Counting Crows	Counting Crows	English	Hopeful	Rock
754	Anna Begins	Counting Crows	Counting Crows	English	Sad	Rock
755	Colorblind	Counting Crows	Counting Crows	English	Peaceful	Rock
756	Sullivan Street	Counting Crows	Counting Crows	English	Nostalgic	Rock
757	Recovering the Satellites	Counting Crows	Counting Crows	English	Reflective	Rock
758	Neon Moon	Brooks and Dunn	Brooks and Dunn	English	Sad	Country
759	Friends in Low Places	Garth Brooks	Garth Brooks	English	Fun	Country
760	Jolene	Dolly Parton	Dolly Parton	English	Emotional	Country
761	I Will Always Love You	Dolly Parton	Dolly Parton	English	Sad	Country
762	Take Me Home Country Roads	John Denver	John Denver	English	Nostalgic	Country
763	Country Roads (Cover)	John Denver	John Denver	English	Happy	Country
764	Rocky Mountain High	John Denver	John Denver	English	Peaceful	Country
765	Leaving on a Jet Plane	John Denver	John Denver	English	Sad	Country
766	Calypso	John Denver	John Denver	English	Happy	Folk
767	Sunshine on My Shoulders	John Denver	John Denver	English	Peaceful	Folk
768	Islands in the Stream	Bee Gees	Kenny Rogers	English	Romantic	Country
769	Lucille	Kenny Rogers	Kenny Rogers	English	Sad	Country
770	She Believes in Me	Kenny Rogers	Kenny Rogers	English	Emotional	Country
771	Lady	Kenny Rogers	Kenny Rogers	English	Romantic	Country
772	Wagon Wheel	Old Crow Medicine Show	Darius Rucker	English	Happy	Country
773	Tennessee Whiskey	David Allan Coe	Chris Stapleton	English	Romantic	Country
774	Take It Easy	Eagles	Eagles	English	Peaceful	Rock
775	Lyin Eyes	Eagles	Eagles	English	Thoughtful	Country-Rock
776	Best of My Love	Eagles	Eagles	English	Romantic	Rock
777	Heartache Tonight	Eagles	Eagles	English	Energetic	Rock
778	Already Gone	Eagles	Eagles	English	Hopeful	Rock
779	Peaceful Easy Feeling	Eagles	Eagles	English	Peaceful	Rock
780	One of These Nights	Eagles	Eagles	English	Energetic	Rock
781	The Long Run	Eagles	Eagles	English	Reflective	Rock
782	Life in the Fast Lane	Eagles	Eagles	English	Energetic	Rock
783	Blue Suede Shoes	Carl Perkins	Elvis Presley	English	Energetic	Rockabilly
784	Jailhouse Rock	Elvis Presley	Elvis Presley	English	Energetic	Rockabilly
785	Hound Dog	Big Mama Thornton	Elvis Presley	English	Energetic	Rockabilly
786	Love Me Tender	Elvis Presley	Elvis Presley	English	Romantic	Classic-Pop
787	Can't Help Falling in Love	Hugo Peretti	Elvis Presley	English	Romantic	Classic-Pop
788	Suspicious Minds	Mark James	Elvis Presley	English	Dramatic	Rock
789	In the Ghetto	Mac Davis	Elvis Presley	English	Sad	Classic-Pop
790	The Wonder of You	Baker Knight	Elvis Presley	English	Romantic	Classic-Pop
791	All Shook Up	Elvis Presley	Elvis Presley	English	Energetic	Rockabilly
792	Burning Love	Dennis Linde	Elvis Presley	English	Romantic	Rock
793	A Little Less Conversation	Billy Strange	Elvis Presley	English	Fun	Rock
794	Return to Sender	Otis Blackwell	Elvis Presley	English	Fun	Classic-Pop
795	Teddy Bear	Elvis Presley	Elvis Presley	English	Playful	Rockabilly
796	Heartbreak Hotel	Elvis Presley	Elvis Presley	English	Sad	Rockabilly
797	Are You Lonesome Tonight	Roy Turk	Elvis Presley	English	Sad	Classic-Pop
798	Little Sister	Doc Pomus	Elvis Presley	English	Energetic	Rockabilly
799	Mystery Train	Sam Phillips	Elvis Presley	English	Mysterious	Rockabilly
800	That's All Right	Arthur Crudup	Elvis Presley	English	Happy	Rockabilly
801	I Want You I Need You I Love You	Ira Kosloff	Elvis Presley	English	Romantic	Classic-Pop
802	Wooden Heart	Ernst Bruch	Elvis Presley	German	Comforting	Classic-Pop
803	Peace in the Valley	Thomas Dorsey	Elvis Presley	English	Peaceful	Gospel
804	If I Can Dream	W. Earl Brown	Elvis Presley	English	Hopeful	Classic-Pop
805	Separate Ways	Steve Perry	Journey	English	Sad	Rock
806	Dont Stop Believin	Steve Perry	Journey	English	Hopeful	Rock
807	Any Way You Want It	Steve Perry	Journey	English	Energetic	Rock
808	Faithfully	Steve Perry	Journey	English	Romantic	Rock
809	Open Arms	Steve Perry	Journey	English	Romantic	Rock
810	Wheel in the Sky	Steve Perry	Journey	English	Hopeful	Rock
811	Lights	Steve Perry	Journey	English	Nostalgic	Rock
812	Lovin Touchin Squeezin	Steve Perry	Journey	English	Romantic	Rock
813	Who's Crying Now	Steve Perry	Journey	English	Sad	Rock
814	Stone in Love	Steve Perry	Journey	English	Energetic	Rock
815	Total Eclipse of the Heart	Jim Steinman	Bonnie Tyler	English	Dramatic	Rock
816	I Need a Hero	Jim Steinman	Bonnie Tyler	English	Motivational	Rock
817	Holding Out for a Hero	Jim Steinman	Bonnie Tyler	English	Energetic	Rock
818	Its a Heartache	David Mackay	Bonnie Tyler	English	Sad	Country-Rock
819	Lost in France	Ronnie Scott	Bonnie Tyler	English	Romantic	Pop
820	Sweet Talkin Woman	Jeff Lynne	ELO	English	Romantic	Pop
821	Mr. Blue Sky	Jeff Lynne	ELO	English	Happy	Pop
822	Evil Woman	Jeff Lynne	ELO	English	Mysterious	Pop
823	Livin Thing	Jeff Lynne	ELO	English	Energetic	Pop
824	Dont Bring Me Down	Jeff Lynne	ELO	English	Energetic	Rock
825	Shine a Little Love	Jeff Lynne	ELO	English	Happy	Disco
826	All Over the World	Jeff Lynne	ELO	English	Happy	Disco
827	Here Is the News	Jeff Lynne	ELO	English	Thoughtful	Pop
828	Turn to Stone	Jeff Lynne	ELO	English	Mysterious	Pop
829	Telephone Line	Jeff Lynne	ELO	English	Sad	Pop
830	I'm Alive	Jeff Lynne	ELO	English	Hopeful	Pop
831	Roll Over Beethoven	Jeff Lynne	ELO	English	Energetic	Rock
832	Rockaria	Jeff Lynne	ELO	English	Fun	Rock-Opera
833	Hold On Tight	Jeff Lynne	ELO	English	Energetic	Pop
834	Strange Magic	Jeff Lynne	ELO	English	Dreamy	Pop
835	Can't Get It Out of My Head	Jeff Lynne	ELO	English	Mysterious	Pop
836	Eldorado	Jeff Lynne	ELO	English	Dreamy	Classical-Fusion
837	10538 Overture	Jeff Lynne	ELO	English	Dramatic	Classical-Fusion
838	The Diary of Horace Wimp	Jeff Lynne	ELO	English	Whimsical	Pop
839	Wild West Hero	Jeff Lynne	ELO	English	Fun	Country-Pop
840	Night in the City	Jeff Lynne	ELO	English	Energetic	Pop
841	Fire on High	Jeff Lynne	ELO	English	Mysterious	Classical-Fusion
842	Kurio City	Jeff Lynne	ELO	English	Playful	Pop
843	Birmingham Blues	Jeff Lynne	ELO	English	Sad	Blues
844	Now You're Gone	Jeff Lynne	ELO	English	Sad	Pop
845	Across the Border	Jeff Lynne	ELO	English	Hopeful	Pop
846	Prague	Jeff Lynne	ELO	English	Peaceful	Classical-Fusion
847	Twilight	Jeff Lynne	ELO	English	Melancholic	Pop
848	Yours Truly 2095	Jeff Lynne	ELO	English	Dreamy	Synthwave
849	Time	Jeff Lynne	ELO	English	Reflective	Pop
850	The Way Life's Meant to Be	Jeff Lynne	ELO	English	Hopeful	Pop
851	Four Little Diamonds	Jeff Lynne	ELO	English	Fun	Pop
852	Rock N Roll Is King	Jeff Lynne	ELO	English	Energetic	Rock
853	Ticket to the Moon	Jeff Lynne	ELO	English	Dreamy	Pop
854	Rain Is Falling	Jeff Lynne	ELO	English	Sad	Pop
855	Autumn	Jeff Lynne	ELO	English	Melancholic	Classical-Fusion
856	When Time Stood Still	Jeff Lynne	ELO	English	Nostalgic	Pop
857	Walk and Talk	Jeff Lynne	ELO	English	Energetic	Pop
858	Morning	Jeff Lynne	ELO	English	Peaceful	Pop
859	Oh No Not Susan	Jeff Lynne	ELO	English	Fun	Pop
860	Confusion	New Order	New Order	English	Energetic	Synth-Pop
861	Blue Monday	New Order	New Order	English	Melancholic	Synth-Pop
862	True Faith	New Order	New Order	English	Energetic	Synth-Pop
863	Bizarre Love Triangle	New Order	New Order	English	Romantic	Synth-Pop
864	Regret	New Order	New Order	English	Hopeful	Synth-Pop
865	Crystal	New Order	New Order	English	Energetic	Synth-Pop
866	Ceremony	New Order	New Order	English	Energetic	Post-Punk
867	Age of Consent	New Order	New Order	English	Energetic	Post-Punk
868	Love Vigilantes	New Order	New Order	English	Dramatic	Synth-Pop
869	Perfect Kiss	New Order	New Order	English	Energetic	Synth-Pop
870	Temptation	New Order	New Order	English	Energetic	Synth-Pop
871	Thieves Like Us	New Order	New Order	English	Romantic	Synth-Pop
872	Vanishing Point	New Order	New Order	English	Dreamy	Synth-Pop
873	World in Motion	New Order	New Order	English	Energetic	Synth-Pop
874	Run 2	New Order	New Order	English	Energetic	Synth-Pop
875	Slow Jam	New Order	New Order	English	Dreamy	Electronic
876	Mr. Disco	New Order	New Order	English	Happy	Synth-Pop
877	Krafty	New Order	New Order	English	Happy	Synth-Pop
878	Here to Stay	New Order	New Order	English	Hopeful	Synth-Pop
879	Close Range	New Order	New Order	English	Mysterious	Synth-Pop
880	Turn My Way	New Order	New Order	English	Hopeful	Synth-Pop
881	Someone Like You (New Order)	New Order	New Order	English	Sad	Synth-Pop
882	All the Way	New Order	New Order	English	Hopeful	Synth-Pop
883	In a Lonely Place	New Order	New Order	English	Melancholic	Post-Punk
884	Dreams Never End	New Order	New Order	English	Dreamy	Post-Punk
885	Truth	New Order	New Order	English	Sad	Post-Punk
886	Senses	New Order	New Order	English	Peaceful	Post-Punk
887	586	New Order	New Order	English	Energetic	Post-Punk
888	Everything's Gone Green	New Order	New Order	English	Energetic	Synth-Pop
889	ICB	New Order	New Order	English	Energetic	Synth-Pop
890	Mesh	New Order	New Order	English	Mysterious	Electronic
891	Elegia	New Order	New Order	English	Peaceful	Electronic
892	I	New Order	New Order	English	Reflective	Electronic
893	State of the Nation	New Order	New Order	English	Dramatic	Synth-Pop
894	Subculture	New Order	New Order	English	Energetic	Synth-Pop
895	All Day Long	New Order	New Order	English	Happy	Electronic
896	Every Little Counts	New Order	New Order	English	Hopeful	Synth-Pop
897	Sooner Than You Think	New Order	New Order	English	Reflective	Synth-Pop
898	Way of Life	New Order	New Order	English	Energetic	Electronic
899	Sunrise	New Order	New Order	English	Happy	Electronic
900	Jetstream	New Order	New Order	English	Energetic	Electronic
901	Tu Kuja Man Kuja	Traditional Qawwali	Sabri Brothers	Urdu	Spiritual	Qawwali
902	Piya Re Piya	Traditional Qawwali	Nusrat Fateh Ali Khan	Urdu	Spiritual	Qawwali
903	Allah Hoo	Traditional Qawwali	Nusrat Fateh Ali Khan	Urdu	Spiritual	Qawwali
904	Dum Mast Qalandar	Traditional	Abida Parveen	Urdu	Spiritual	Qawwali
905	Yeh Jo Halka Halka Suroor	Nusrat Fateh Ali Khan	Nusrat Fateh Ali Khan	Urdu	Spiritual	Qawwali
906	Sanu Ek Pal Chain Na Aave	Nusrat Fateh Ali Khan	Rahat Fateh Ali Khan	Urdu	Romantic	Qawwali
907	Mere Rashke Qamar	Nusrat Fateh Ali Khan	Junaid Asghar	Urdu	Romantic	Qawwali
908	Maula Maula	Nusrat Fateh Ali Khan	Nusrat Fateh Ali Khan	Urdu	Spiritual	Qawwali
909	Na Tum Jaano Na Hum	Shankar-Ehsaan-Loy	Udit Narayan	Hindi	Romantic	Ballad
910	Ek Din Aap	Udit Narayan	Udit Narayan	Hindi	Romantic	Classic-Bollywood
911	Mora Saiyyan	Tanu Weds Manu	Mame Khan	Hindi	Spiritual	Folk
912	Ik Onkar	A.R. Rahman	A.R. Rahman	Punjabi	Spiritual	Devotional
913	Waheguru	Gurdas Maan	Gurdas Maan	Punjabi	Spiritual	Devotional
914	Sat Shri Akaal	Gurdas Maan	Gurdas Maan	Punjabi	Energetic	Bhangra
915	Dil Tut Gaya	Gurdas Maan	Gurdas Maan	Punjabi	Sad	Folk
916	Chan Kithan Guzari Raat	Gurdas Maan	Gurdas Maan	Punjabi	Romantic	Folk
917	Chal Mere Naal	Gurdas Maan	Gurdas Maan	Punjabi	Hopeful	Folk
918	Putt Jattan De	Gurdas Maan	Gurdas Maan	Punjabi	Proud	Bhangra
919	Ki Banu Duniya Da	Gurdas Maan	Gurdas Maan	Punjabi	Thoughtful	Folk
920	Apni Gall Kar	Gurdas Maan	Gurdas Maan	Punjabi	Reflective	Folk
921	Jag Jeondeyan De Mele	Gurdas Maan	Gurdas Maan	Punjabi	Happy	Folk
922	Challa	Rabbi Shergill	Rabbi Shergill	Punjabi	Peaceful	Folk-Rock
923	Jinhe Naaz	Shafqat Amanat Ali	Shafqat Amanat Ali	Urdu	Thoughtful	Ghazal
924	Yaar Mangya Si Rab Toh	Shafqat Amanat Ali	Shafqat Amanat Ali	Punjabi	Grateful	Folk
925	Mann Ki Lagan	Nusrat Fateh Ali Khan	Rahat Fateh Ali Khan	Urdu	Spiritual	Sufi
926	Na Jane Kyon	Nusrat Fateh Ali Khan	Nusrat Fateh Ali Khan	Urdu	Melancholic	Sufi
927	Sajna	Shafqat Amanat Ali	Shafqat Amanat Ali	Urdu	Romantic	Ghazal
928	Ik Tara	Ustad Puran Chand Wadali	Wadali Brothers	Punjabi	Spiritual	Sufi
929	Tenu Mileya	Nooran Sisters	Nooran Sisters	Punjabi	Happy	Folk
930	Chitta Kukkad	Balkar Sidhu	Balkar Sidhu	Punjabi	Energetic	Bhangra
931	Nachange Saari Raat	Gippy Grewal	Gippy Grewal	Punjabi	Energetic	Bhangra
932	Oh Yaara	Gippy Grewal	Gippy Grewal	Punjabi	Friendship	Pop
933	Ik Kudi Lo-Fi	Amit Trivedi	Lo-Fi Cover	Hindi	Peaceful	Lo-Fi
934	Kesariya Lo-Fi	Pritam	Lo-Fi Waves	Hindi	Romantic	Lo-Fi
935	Tum Hi Ho Lo-Fi	Ankit Tiwari	Lo-Fi Studio	Hindi	Sad	Lo-Fi
936	Raataan Lambiyan Lo-Fi	Tanishk Bagchi	Lo-Fi Dreamer	Hindi	Romantic	Lo-Fi
937	Blinding Lights Lo-Fi	The Weeknd	Chill Nation	English	Nostalgic	Lo-Fi
938	Starboy Lo-Fi	The Weeknd	Lo-Fi Nation	English	Dreamy	Lo-Fi
939	Sunflower Lo-Fi	Post Malone	ChilledCow	English	Happy	Lo-Fi
940	Shape of You Lo-Fi	Ed Sheeran	Lo-Fi Vibes	English	Romantic	Lo-Fi
941	Levitating Lo-Fi	Dua Lipa	Lo-Fi Mix	English	Happy	Lo-Fi
942	As It Was Lo-Fi	Harry Styles	Lo-Fi Covers	English	Nostalgic	Lo-Fi
943	Yellow Lo-Fi	Coldplay	Lo-Fi Study	English	Peaceful	Lo-Fi
944	Wonderwall Lo-Fi	Oasis	Lofi Hip Hop	English	Melancholic	Lo-Fi
945	Heat Waves Lo-Fi	Glass Animals	Chill Vibes	English	Sad	Lo-Fi
946	Drivers License Lo-Fi	Olivia Rodrigo	Night Owl	English	Sad	Lo-Fi
947	Stay Lo-Fi	The Kid Laroi	Lo-Fi Room	English	Romantic	Lo-Fi
948	Pasoori Lo-Fi	Shae Gill	Lo-Fi Pakistan	Punjabi	Romantic	Lo-Fi
949	Bekhayali Lo-Fi	Sachet-Parampara	Lo-Fi Bollywood	Hindi	Sad	Lo-Fi
950	Channa Mereya Lo-Fi	Pritam	Bollywood Lofi	Hindi	Sad	Lo-Fi
951	Kabira Lo-Fi	Pritam	Lo-Fi Chill	Hindi	Peaceful	Lo-Fi
952	Mann Mera Lo-Fi	Gajendra Verma	Lo-Fi Mix	Hindi	Sad	Lo-Fi
953	Kaun Banega Crorepati Theme	A.R. Rahman	A.R. Rahman	Hindi	Motivational	Soundtrack
954	Slumdog Millionaire OST	A.R. Rahman	A.R. Rahman	English	Hopeful	Soundtrack
955	Lagaan Theme	A.R. Rahman	A.R. Rahman	Hindi	Motivational	Soundtrack
956	Interstellar Theme	Hans Zimmer	Hans Zimmer	Instrumental	Dramatic	Classical-Fusion
957	The Dark Knight Theme	Hans Zimmer	Hans Zimmer	Instrumental	Dramatic	Classical-Fusion
958	Inception Cornfield Chase	Hans Zimmer	Hans Zimmer	Instrumental	Peaceful	Classical-Fusion
959	Gladiator Now We Are Free	Hans Zimmer	Lisa Gerrard	Instrumental	Emotional	Classical-Fusion
960	Pirates of the Caribbean Theme	Hans Zimmer	Hans Zimmer	Instrumental	Energetic	Classical-Fusion
961	Time from Inception	Hans Zimmer	Hans Zimmer	Instrumental	Dramatic	Classical-Fusion
962	Avengers Theme	Alan Silvestri	Alan Silvestri	Instrumental	Motivational	Classical-Fusion
963	Star Wars Main Theme	John Williams	John Williams	Instrumental	Energetic	Classical-Fusion
964	Jurassic Park Theme	John Williams	John Williams	Instrumental	Dramatic	Classical-Fusion
965	Schindlers List Theme	John Williams	Itzhak Perlman	Instrumental	Sad	Classical
966	Harry Potter Hedwigs Theme	John Williams	John Williams	Instrumental	Whimsical	Classical-Fusion
967	Game of Thrones Theme	Ramin Djawadi	Ramin Djawadi	Instrumental	Dramatic	Classical-Fusion
968	Stranger Things Theme	Kyle Dixon	Kyle Dixon	Instrumental	Mysterious	Synthwave
969	La La Land City of Stars	Justin Hurwitz	Ryan Gosling	English	Dreamy	Jazz
970	La La Land Mia and Sebastian	Justin Hurwitz	Justin Hurwitz	Instrumental	Romantic	Jazz
971	Whiplash Theme	Justin Hurwitz	Justin Hurwitz	Instrumental	Energetic	Jazz
972	Moonlight Sonata	Beethoven	Various	Instrumental	Melancholic	Classical
973	Fur Elise	Beethoven	Various	Instrumental	Peaceful	Classical
974	Clair de Lune	Debussy	Various	Instrumental	Peaceful	Classical
975	Canon in D	Pachelbel	Various	Instrumental	Peaceful	Classical
976	Air on the G String	Bach	Various	Instrumental	Peaceful	Classical
977	Gymnop̩die No 1	Erik Satie	Various	Instrumental	Peaceful	Classical
978	Prelude in C Major	Bach	Various	Instrumental	Peaceful	Classical
979	Spring from Four Seasons	Vivaldi	Various	Instrumental	Energetic	Classical
980	Winter from Four Seasons	Vivaldi	Various	Instrumental	Dramatic	Classical
981	Arabesque No 1	Debussy	Various	Instrumental	Dreamy	Classical
982	Nocturne Op 9 No 2	Chopin	Various	Instrumental	Romantic	Classical
983	Waltz in A Minor	Chopin	Various	Instrumental	Melancholic	Classical
984	Ode to Joy	Beethoven	Various	Instrumental	Joyful	Classical
985	Symphony No 5	Beethoven	Various	Instrumental	Dramatic	Classical
986	Symphony No 9	Beethoven	Various	Instrumental	Joyful	Classical
987	The Blue Danube	Johann Strauss	Various	Instrumental	Happy	Classical
988	Ride of the Valkyries	Wagner	Various	Instrumental	Aggressive	Classical
989	Also Sprach Zarathustra	Richard Strauss	Various	Instrumental	Dramatic	Classical
990	O Fortuna	Carl Orff	Various	Instrumental	Dramatic	Classical
991	Nessun Dorma	Puccini	Various	Instrumental	Dramatic	Opera
992	La Traviata	Verdi	Various	Instrumental	Emotional	Opera
993	Ave Maria	Schubert	Various	Instrumental	Peaceful	Classical
994	Lacrimosa	Mozart	Various	Instrumental	Sad	Classical
995	Eine Kleine Nachtmusik	Mozart	Various	Instrumental	Happy	Classical
996	Magic Flute Overture	Mozart	Various	Instrumental	Energetic	Classical
997	Piano Concerto No 21	Mozart	Various	Instrumental	Romantic	Classical
998	Serenade No 13	Mozart	Various	Instrumental	Peaceful	Classical
999	Hungarian Dance No 5	Brahms	Various	Instrumental	Energetic	Classical
1000	Violin Concerto	Brahms	Various	Instrumental	Emotional	Classical
1001	Moonlight Sonata Slow	Beethoven	Various	Instrumental	Sad	Classical
1002	Appassionata	Beethoven	Various	Instrumental	Dramatic	Classical
1003	Piano Sonata No 14	Beethoven	Various	Instrumental	Melancholic	Classical
1004	Hammerklavier	Beethoven	Various	Instrumental	Aggressive	Classical
1005	Fantasy Impromptu	Chopin	Various	Instrumental	Energetic	Classical
1006	Ballade No 1	Chopin	Various	Instrumental	Dramatic	Classical
1007	Etude Op 10 No 4	Chopin	Various	Instrumental	Energetic	Classical
1008	Minute Waltz	Chopin	Various	Instrumental	Playful	Classical
1009	Butterfly Etude	Chopin	Various	Instrumental	Whimsical	Classical
1010	Raindrop Prelude	Chopin	Various	Instrumental	Melancholic	Classical
1011	Revolutionary Etude	Chopin	Various	Instrumental	Aggressive	Classical
1012	Grand Polonaise	Chopin	Various	Instrumental	Proud	Classical
1013	Scherzo No 2	Chopin	Various	Instrumental	Dramatic	Classical
1014	Piano Sonata No 2	Chopin	Various	Instrumental	Sad	Classical
1015	La Campanella	Liszt	Various	Instrumental	Energetic	Classical
1016	Hungarian Rhapsody No 2	Liszt	Various	Instrumental	Dramatic	Classical
1017	Liebestraum	Liszt	Various	Instrumental	Romantic	Classical
1018	Transcendental Etude	Liszt	Various	Instrumental	Aggressive	Classical
1019	Years of Pilgrimage	Liszt	Various	Instrumental	Reflective	Classical
1020	Images Book 1	Debussy	Various	Instrumental	Dreamy	Classical
1021	Reverie	Debussy	Various	Instrumental	Peaceful	Classical
1022	La Mer	Debussy	Various	Instrumental	Energetic	Classical
1023	The Sunken Cathedral	Debussy	Various	Instrumental	Mysterious	Classical
1024	Girl with the Flaxen Hair	Debussy	Various	Instrumental	Peaceful	Classical
1025	Jeux	Debussy	Various	Instrumental	Playful	Classical
1026	Prelude to the Afternoon of a Faun	Debussy	Various	Instrumental	Dreamy	Classical
1027	Snowflakes Are Dancing	Debussy	Various	Instrumental	Peaceful	Classical
1028	Berceuse	Faure	Various	Instrumental	Peaceful	Classical
1029	Pavane	Faure	Various	Instrumental	Melancholic	Classical
1030	Sicilienne	Faure	Various	Instrumental	Peaceful	Classical
1031	Cantique de Jean Racine	Faure	Various	Instrumental	Peaceful	Classical
1032	Agnus Dei	Faure	Various	Instrumental	Sad	Classical
1033	In Paradisum	Faure	Various	Instrumental	Peaceful	Classical
1034	Pelleas and Melisande	Faure	Various	Instrumental	Melancholic	Classical
1035	Elegy	Faure	Various	Instrumental	Sad	Classical
1036	Dolly Suite	Faure	Various	Instrumental	Playful	Classical
1037	Requiem in D Minor	Faure	Various	Instrumental	Sad	Classical
1038	Showers of Blessing	Traditional Hymn	Various	English	Spiritual	Gospel
1039	Amazing Grace	Traditional	Various	English	Spiritual	Gospel
1040	How Great Thou Art	Traditional	Various	English	Spiritual	Gospel
1041	Hallelujah	Traditional	Various	English	Inspirational	Gospel
1042	This Little Light of Mine	Traditional	Various	English	Happy	Gospel
1043	Oh Happy Day	Traditional	Various	English	Joyful	Gospel
1044	Go Down Moses	Traditional	Various	English	Spiritual	Gospel
1045	Nobody Knows the Trouble I've Seen	Traditional	Various	English	Sad	Gospel
1046	Swing Low Sweet Chariot	Traditional	Various	English	Peaceful	Gospel
1047	When the Saints Go Marching In	Traditional	Various	English	Joyful	Gospel
1048	River of Dreams	Billy Joel	Billy Joel	English	Hopeful	Pop
1049	Piano Man	Billy Joel	Billy Joel	English	Nostalgic	Pop
1050	She's Always a Woman	Billy Joel	Billy Joel	English	Romantic	Pop
1051	The Stranger	Billy Joel	Billy Joel	English	Mysterious	Pop
1052	Its Still Rock and Roll to Me	Billy Joel	Billy Joel	English	Energetic	Rock
1053	Pressure	Billy Joel	Billy Joel	English	Anxious	Rock
1054	Allentown	Billy Joel	Billy Joel	English	Thoughtful	Rock
1055	Scenes from an Italian Restaurant	Billy Joel	Billy Joel	English	Nostalgic	Rock
1056	My Life	Billy Joel	Billy Joel	English	Confident	Rock
1057	We Didn't Start the Fire	Billy Joel	Billy Joel	English	Energetic	Rock
1058	Goodnight Saigon	Billy Joel	Billy Joel	English	Emotional	Rock
1059	Leningrad	Billy Joel	Billy Joel	English	Reflective	Pop
1060	And So It Goes	Billy Joel	Billy Joel	English	Sad	Ballad
1061	Lullaby	Billy Joel	Billy Joel	English	Peaceful	Ballad
1062	Summer Highland Falls	Billy Joel	Billy Joel	English	Melancholic	Rock
1063	Miami 2017	Billy Joel	Billy Joel	English	Nostalgic	Rock
1064	Say Goodbye to Hollywood	Billy Joel	Billy Joel	English	Hopeful	Rock
1065	Los Angelenos	Billy Joel	Billy Joel	English	Reflective	Rock
1066	Keeping the Faith	Billy Joel	Billy Joel	English	Energetic	Rock
1067	Tell Her About It	Billy Joel	Billy Joel	English	Happy	Pop
1068	Uptown Girl	Billy Joel	Billy Joel	English	Happy	Pop
1069	A Matter of Trust	Billy Joel	Billy Joel	English	Hopeful	Rock
1070	Baby Grand	Billy Joel	Billy Joel	English	Grateful	Pop
1071	This is the Time	Billy Joel	Billy Joel	English	Nostalgic	Pop
1072	Code of Silence	Billy Joel	Billy Joel	English	Sad	Rock
1073	Getting Closer	Billy Joel	Billy Joel	English	Happy	Pop
1074	Big Man on Mulberry Street	Billy Joel	Billy Joel	English	Energetic	Jazz-Pop
1075	Modern Woman	Billy Joel	Billy Joel	English	Empowering	Pop
1076	Deja Vu	Crosby Stills Nash and Young	Crosby Stills Nash and Young	English	Reflective	Folk-Rock
1077	Teach Your Children	Crosby Stills Nash and Young	Crosby Stills Nash and Young	English	Inspirational	Folk-Rock
1078	Our House	Crosby Stills Nash and Young	Crosby Stills Nash and Young	English	Peaceful	Folk-Rock
1079	Suite Judy Blue Eyes	Crosby Stills Nash and Young	Crosby Stills Nash and Young	English	Romantic	Folk-Rock
1080	Woodstock	Crosby Stills Nash and Young	Crosby Stills Nash and Young	English	Hopeful	Folk-Rock
1081	Southern Man	Crosby Stills Nash and Young	Neil Young	English	Angry	Folk-Rock
1082	Ohio	Crosby Stills Nash and Young	Crosby Stills Nash and Young	English	Angry	Folk-Rock
1083	Find the Cost of Freedom	Crosby Stills Nash and Young	Crosby Stills Nash and Young	English	Reflective	Folk-Rock
1084	Love the One You're With	Crosby Stills Nash and Young	Stephen Stills	English	Happy	Folk-Rock
1085	Guinnevere	Crosby Stills Nash and Young	David Crosby	English	Dreamy	Folk-Rock
